double,geneA,geneB,residual,residual_bias_corrected,CI_low,CI_high,pctile_CI_low,pctile_CI_high,se_boot,noise_floor,noise_floor_sd,floor_ratio,z,p,bar_a_significant,bar_b_floor_ratio_ge_1p9,effect_norm,nonadditivity
TGFBR2+C19orf26,TGFBR2,C19orf26,0.3410229136213516,0.2931530105479456,0.273968074769237,0.31122614526627024,0.370819681976433,0.4080777524734662,0.009695687305408268,0.20917879068833373,0.00964704011800333,1.6302939341945966,13.666795340362487,0.000999000999000999,True,False,4.126272925261546,0.5543612892276982
SNAI1+DLX2,SNAI1,DLX2,0.38380050365089147,0.33072579362394616,0.3144921699549747,0.34730806055998714,0.4202929467417958,0.45310883734680824,0.008343603614666944,0.24140171181520548,0.01045017631571209,1.5898831071450443,13.626448734801345,0.000999000999000999,True,False,7.064428089360482,0.4912028145288303
FOXF1+HOXB9,FOXF1,HOXB9,0.3333466034398001,0.2791926731096426,0.26422064794282996,0.2940812463608903,0.37261196051870993,0.40247255893677025,0.007404267569917134,0.21975558808817744,0.008458357791982092,1.5168970506726955,13.429440814066613,0.000999000999000999,True,False,5.324456906941892,0.4524693918518394
DUSP9+PRTG,DUSP9,PRTG,0.22284512876710422,0.18594739545126865,0.1741672518392064,0.1972431866353426,0.24844707089886583,0.27152300569500204,0.0058702645704795595,0.13847144228181624,0.0063887025124315325,1.6093219301751127,13.206701410984225,0.000999000999000999,True,False,7.141735597053428,0.3709563804380744
RHOXF2BB+ZBTB25,RHOXF2BB,ZBTB25,0.25726783823677757,0.21426976583898127,0.19801792490529335,0.229162776143221,0.28537290033033413,0.3165177515682618,0.008015948984456584,0.1644364762187662,0.007402913984247157,1.5645423944411736,12.539840691861274,0.000999000999000999,True,False,6.480055806022444,0.3578496974031516
SGK1+TBX2,SGK1,TBX2,0.2370283117828525,0.1959528844455315,0.18423420446747163,0.20689842661007468,0.2671581969556303,0.28982241909823336,0.005874188770205923,0.15252444830807632,0.006760944509654443,1.5540348738327585,12.498825179545102,0.000999000999000999,True,False,5.67981310471285,0.3307550044380674
SNAI1+UBASH3B,SNAI1,UBASH3B,0.39010669922238217,0.33301502311983183,0.314748065283916,0.34941542447492896,0.4307979739698354,0.4654653331608483,0.00903589852444747,0.25517688509367153,0.010860911309072793,1.5287697358605972,12.42343393560312,0.000999000999000999,True,False,3.583220023025236,0.566677932290534
CBL+PTPN9,CBL,PTPN9,0.25966406995164515,0.21419976955412934,0.1993319492230386,0.2268413875783954,0.2924867523248949,0.3199961906802517,0.007247864431415078,0.17065056847378118,0.007477552692036342,1.521612686520526,11.904095516794435,0.000999000999000999,True,False,5.45666497139939,0.3976141524782142
UBASH3B+PTPN12,UBASH3B,PTPN12,0.24080262281402365,0.20045172842929782,0.18803367294882106,0.21110208863378538,0.2705031569942619,0.29357157267922623,0.0059328947055295725,0.15233413740564197,0.007608489347102311,1.5807528562872546,11.627601928899967,0.000999000999000999,True,False,5.897092255152668,0.3652403993305062
SGK1+TBX3,SGK1,TBX3,0.23334338949293895,0.18975215290069214,0.1776809734051874,0.20151453371457623,0.2651722452713017,0.2890058055806905,0.005940879552415189,0.1556473806497771,0.00671184104781324,1.499179674716056,11.575960796699098,0.000999000999000999,True,False,5.884481883831938,0.3395787242098084
FOXA1+FOXF1,FOXA1,FOXF1,0.3096723232712108,0.2552956079953177,0.24030747446301082,0.2688354823657587,0.3505091641766629,0.3790371720794108,0.007195322172202053,0.20915959640052556,0.008744262729625559,1.4805551770056518,11.494705726321348,0.000999000999000999,True,False,4.663984172663593,0.5139561709075368
MAPK1+TGFBR2,MAPK1,TGFBR2,0.27235305348144634,0.2245089252987073,0.21083560563044706,0.23677473880490152,0.30793136815799116,0.3338705013324456,0.006713516695006015,0.17971753728515438,0.008375044073276204,1.5154506209892524,11.060898949998503,0.000999000999000999,True,False,4.155927654535037,0.3716081206459305
JUN+CEBPA,JUN,CEBPA,0.24450477160390577,0.19687484944722627,0.18087868738446577,0.21150344594660864,0.2775060972612029,0.30813085582334576,0.007736495767280613,0.17038295052769695,0.0068338757082132134,1.4350307401453282,10.846234880614873,0.000999000999000999,True,False,13.905103128019357,0.3266915147914483
FOXA3+FOXF1,FOXA3,FOXF1,0.3589506408173684,0.294385878521033,0.27908269368210087,0.31019194609542117,0.4077093355393156,0.4388185879526359,0.008060603009399628,0.25363480270509275,0.01016109503854494,1.4152262898823427,10.364615005840626,0.000999000999000999,True,False,4.830607648583366,0.4668739526727407
