screen,double,cos_ab,triage_score,triage_rank,unreachable_fraction,double_effect_norm,emergence_z,p_value,floor_ratio,ci_low,ci_high,geometry_status,bar_a_p_lt_0p05,bar_b_floor_ge_1p9,certified_emergent
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+GSE1,0.3541,-0.3541,106,0.6,6.0001,20.735,0.004975124378109453,1.617,0.6382,0.6584,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,DOT1L+MED24,0.3607,-0.3607,107,0.4131,9.2375,54.879,0.004975124378109453,2.53,0.4274,0.4425,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+SMARCD1,0.3632,-0.3632,108,0.5482,7.4368,48.677,0.004975124378109453,2.337,0.5667,0.5787,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+GSE1,0.3638,-0.3638,109,0.507,8.2918,41.738,0.004975124378109453,2.144,0.5255,0.5501,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GFI1+MED24,0.3687,-0.3687,110,0.4882,9.4463,44.167,0.004975124378109453,2.165,0.5054,0.5286,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MED13L+MED16,0.3696,-0.3696,111,0.5064,7.5895,29.0,0.004975124378109453,1.772,0.5401,0.5599,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,MYB+SMARCD1,0.3737,-0.3737,112,0.5919,10.3863,24.503,0.004975124378109453,1.723,0.6171,0.6504,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+KDM1A,0.3882,-0.3882,113,0.4581,8.1353,37.311,0.004975124378109453,2.132,0.4816,0.4962,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,IKZF1+MED24,0.3908,-0.3908,114,0.429,9.2176,19.236,0.004975124378109453,1.55,0.4758,0.4939,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,MED24+VPRBP,0.3945,-0.3945,115,0.4578,8.4952,34.342,0.004975124378109453,2.087,0.4591,0.5163,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+SSRP1,0.4026,-0.4026,116,0.5016,8.7125,9.348,0.004975124378109453,1.283,0.5683,0.5971,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,SMARCD1+SSRP1,0.4101,-0.4101,117,0.6628,5.36,11.416,0.004975124378109453,1.281,0.7173,0.7448,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+SMARCD1,0.4146,-0.4146,118,0.5287,9.0864,52.563,0.004975124378109453,2.361,0.5435,0.5622,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+SSRP1,0.4164,-0.4164,119,0.5407,8.8702,41.721,0.004975124378109453,2.128,0.5619,0.5777,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+SSRP1,0.4253,-0.4253,120,0.5265,7.6211,31.86,0.004975124378109453,1.893,0.5521,0.5774,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,SSRP1+SUPT6H,0.431,-0.431,121,0.5445,8.5788,18.261,0.004975124378109453,1.501,0.5873,0.6173,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+GFI1,0.4316,-0.4316,122,0.5671,8.068,47.324,0.004975124378109453,2.325,0.5857,0.5972,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,KDM1A+MED24,0.4352,-0.4352,123,0.3938,11.1394,37.426,0.004975124378109453,2.035,0.4171,0.4357,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,GATA2+MED24,0.4387,-0.4387,124,0.3785,8.8432,36.981,0.004975124378109453,2.174,0.3979,0.4159,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MED13L+MED19,0.441,-0.441,125,0.4822,9.4068,25.257,0.004975124378109453,1.604,0.5259,0.5447,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+GATA2,0.4436,-0.4436,126,0.5166,6.7244,31.619,0.004975124378109453,2.027,0.5406,0.5593,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+FLI1,0.4479,-0.4479,127,0.493,9.3726,43.786,0.004975124378109453,2.181,0.5147,0.5295,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+KDM1A,0.449,-0.449,128,0.5275,9.3945,53.468,0.004975124378109453,2.52,0.5361,0.5613,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MYB+SSRP1,0.4493,-0.4493,129,0.5879,8.508,8.152,0.004975124378109453,1.191,0.6632,0.6933,outside_model_cone,True,False,False
CaRPool_GSE213957_THP1_Cas13d-KD,EP300+MYB,0.459,-0.459,130,0.5964,11.8263,56.284,0.004975124378109453,2.48,0.6109,0.6228,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+MED24,0.4604,-0.4604,131,0.4073,9.9047,52.753,0.004975124378109453,2.566,0.4238,0.4346,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,SUPT16H+SUPT6H,0.4667,-0.4667,132,0.4658,9.5271,37.188,0.004975124378109453,2.113,0.4905,0.5029,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,FLI1+GFI1,0.4749,-0.4749,133,0.5517,10.3754,39.321,0.004975124378109453,2.079,0.5729,0.5918,outside_model_cone,True,True,True
CaRPool_GSE213957_THP1_Cas13d-KD,MED13L+MED14,0.4782,-0.4782,134,0.4084,11.0605,35.421,0.004975124378109453,1.997,0.434,0.4504,outside_model_cone,True,True,True
